country,iso2,iso3,group,component,source,series_id,source_adjustment,adjustment_method,date,real_value
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1968-01-01,56151
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1968-04-01,56040
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1968-07-01,56843
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1968-10-01,57727
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1969-01-01,58984
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1969-04-01,59689
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1969-07-01,60834
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1969-10-01,61695
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1970-01-01,62125
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1970-04-01,62866
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1970-07-01,63663
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1970-10-01,64355
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1971-01-01,64301
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1971-04-01,64814
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1971-07-01,66451
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1971-10-01,66128
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1972-01-01,66454
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1972-04-01,67363
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1972-07-01,68079
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1972-10-01,68844
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1973-01-01,70485
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1973-04-01,71504
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1973-07-01,72317
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1973-10-01,73365
