country,iso2,group,component,observations,cycle_sd,cycle_mean_abs,persistence_ar1,skewness,kurtosis,mean_yoy_growth,sd_yoy_growth,comparison_observations,relative_volatility_to_gdp,corr_with_domestic_gdp,corr_with_indonesia,correlation_observations
Australia,AU,Asia-Pacific,Consumption,201,1.6402500520988579,1.0417676408714167,0.6145661124929294,-3.3363874354813317,27.1573397286879,2.913504435016597,2.4504800865399305,201,1.28601788741943,0.5606876385871895,0.6103125368106428,101
Australia,AU,Asia-Pacific,GDP,201,1.2754488628383258,0.8824994592503069,0.6825781088399487,-1.4986124848440914,9.307964451054184,2.933649944074405,1.927709709827568,201,1,0.9999999999999999,0.03505276856524379,153
Australia,AU,Asia-Pacific,Investment,201,4.174848876175757,3.247062167867503,0.7898563719804215,-0.13997411210110336,3.278878650422263,3.8137819475350727,6.346584596261184,201,3.2732389340057413,0.7193855404462719,0.12290454360612561,101
China,CN,Asia-Pacific,GDP,140,1.4206459056965897,0.8540789424250202,0.37482624174873075,-3.3507807262859752,25.29404062317121,8.119219923829734,2.9585606920282563,140,1,1,0.14820079035935066,140
India,IN,Asia-Pacific,Consumption,116,3.374863461840323,1.7059703357950255,0.17620394417516994,-4.203230968016964,30.262012963470678,6.078398938794149,4.561868781013122,116,1.1115364910437555,0.8412753756321695,0.508021001206011,101
India,IN,Asia-Pacific,GDP,119,3.003387347928528,1.584536305184287,0.30727701885014264,-5.20087754836593,43.752255308037036,6.312325490501295,4.161563734486294,119,1,1,0.2040265280016854,119
India,IN,Asia-Pacific,Investment,116,5.984874486579742,3.1057701676373664,0.297434418043419,-5.57104685281884,48.63841325890721,7.66909186448038,9.020181054489791,116,1.9711631185584524,0.8995701307909422,0.38911070967536976,101
Indonesia,ID,Focus,Consumption,101,1.2803609730548529,0.7815382237793337,0.7732008819901718,-0.14342273076381953,6.327385693399712,4.2062600258686125,1.9060902559099462,101,1.0726056036711908,0.8146554536379516,1,101
Indonesia,ID,Focus,GDP,156,2.5001435138189336,1.4087181810697555,0.8177303861986134,0.3398896277447074,8.540009187969334,4.903879419252268,4.040085615789399,156,1,1,1,156
Indonesia,ID,Focus,Investment,101,2.7533351068539065,2.1475253381481503,0.6856886432022925,-0.06399306278059554,3.2030249000691104,5.471107552710129,4.595489908545236,101,2.306570355194351,0.5391738478915796,1,101
Japan,JP,Asia-Pacific,Consumption,125,1.312587607422373,0.9015057973432707,0.4996822166788493,-1.5918633521698182,12.513762867403003,0.6006631974939775,2.0067581281076925,125,0.8125461869058462,0.7568413004443513,0.5163515023829554,101
Japan,JP,Asia-Pacific,GDP,156,1.5723941357193618,1.1501655583709747,0.7236970788563761,-1.2947571069615278,7.489640558846067,1.1844015848056038,2.5995736546140575,156,1,1,0.3730696126778547,156
Japan,JP,Asia-Pacific,Investment,125,2.508247167829475,2.0061094082490825,0.8427042482438624,-0.008684248475662492,2.7394350005479353,-0.07688827867327014,3.70628758682518,125,1.5527090614846903,0.7327877737656263,0.38024497816106473,101
Malaysia,MY,ASEAN,Consumption,37,4.568135970301332,2.57214157672593,0.22882854752016757,-2.18869268986157,9.649485579326353,5.045370908811703,6.1469514557437614,37,1.2981655980655247,0.8900286707729138,0.7514206626699328,37
Malaysia,MY,ASEAN,GDP,84,2.6275347357616177,1.4892735536908548,0.41134002117005913,-2.778546912496733,17.645884597285576,4.345222381216365,4.07934836088925,84,1,1,0.788886191232081,84
Malaysia,MY,ASEAN,Investment,37,6.465157774813706,4.638847050374266,0.513206795820922,-1.5293687114842345,6.956179661539088,0.6728349699845362,8.92976855075472,37,1.837258230467117,0.8662089125166463,0.7717527450301731,37
New Zealand,NZ,Asia-Pacific,Consumption,152,1.9342067937400027,1.3531482776113661,0.5012943102867867,-2.2627885415237703,17.930200922568503,2.9496093906815433,2.9620650542120384,152,1.1607966689644893,0.8204375482332535,0.2921568006091932,101
